"file","filename","revision_index","original_text","suggested_text","match_types","match_tokens","suggestion_count"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\astro\ping\astro_ping_viper_check_items.mp3.json","astro/ping/astro_ping_viper_check_items.mp3","1","Check out what VyperBot!","Check out what Vyper bought!","bot_suffix_or_compound","VyperBot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\atlas\ping\abrams_ping_calico_check_items.mp3.json","atlas/ping/abrams_ping_calico_check_items.mp3","2","Check out what Kalakobot.","Check out what Kalako bought.","bot_suffix_or_compound","Kalakobot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\atlas\ping\abrams_ping_geist_check_items_1.mp3.json","atlas/ping/abrams_ping_geist_check_items_1.mp3","1","Check out what Geistbot...","Check out what Geist bought...","bot_suffix_or_compound","Geistbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\atlas\ping\abrams_ping_geist_check_items.mp3.json","atlas/ping/abrams_ping_geist_check_items.mp3","1","Check out what Geistbot...","Check out what Geist bought...","bot_suffix_or_compound","Geistbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\atlas\ping\abrams_ping_ghost_check_items_1.mp3.json","atlas/ping/abrams_ping_ghost_check_items_1.mp3","1","Check out what Geistbot...","Check out what Geist bought...","bot_suffix_or_compound","Geistbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\atlas\ping\abrams_ping_ghost_check_items.mp3.json","atlas/ping/abrams_ping_ghost_check_items.mp3","1","Check out what Geistbot...","Check out what Geist bought...","bot_suffix_or_compound","Geistbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\atlas\ping\abrams_ping_grey_talon_check_items_1.mp3.json","atlas/ping/abrams_ping_grey_talon_check_items_1.mp3","1","Check out what Great Talonbot.","Check out what Great Talon bought.","bot_suffix_or_compound","Talonbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\atlas\ping\abrams_ping_grey_talon_check_items.mp3.json","atlas/ping/abrams_ping_grey_talon_check_items.mp3","1","Check out what Great Talonbot.","Check out what Great Talon bought.","bot_suffix_or_compound","Talonbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\atlas\ping\abrams_ping_krill_check_items_1.mp3.json","atlas/ping/abrams_ping_krill_check_items_1.mp3","1","Check out what Krillbot.","Check out what Krill bought.","bot_suffix_or_compound","Krillbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\atlas\ping\abrams_ping_krill_check_items.mp3.json","atlas/ping/abrams_ping_krill_check_items.mp3","1","Check out what Krillbot.","Check out what Krill bought.","bot_suffix_or_compound","Krillbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\atlas\ping\abrams_ping_krill_check_items.mp3.json","atlas/ping/abrams_ping_krill_check_items.mp3","2","Check out what thrill bot.","Check out what thrill bought.","exact_bot","bot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\atlas\ping\abrams_ping_krill_check_items.mp3.json","atlas/ping/abrams_ping_krill_check_items.mp3","3","Check out what's real, bot.","Check out what's real, bought.","exact_bot","bot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\atlas\ping\abrams_ping_orion_check_items_1.mp3.json","atlas/ping/abrams_ping_orion_check_items_1.mp3","1","Check out what Great Talonbot.","Check out what Great Talon bought.","bot_suffix_or_compound","Talonbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\atlas\ping\abrams_ping_orion_check_items.mp3.json","atlas/ping/abrams_ping_orion_check_items.mp3","1","Check out what Great Talonbot.","Check out what Great Talon bought.","bot_suffix_or_compound","Talonbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\atlas\ping\abrams_ping_pocket_check_items_1.mp3.json","atlas/ping/abrams_ping_pocket_check_items_1.mp3","1","Check out what Pocketbot.","Check out what Pocket bought.","bot_suffix_or_compound","Pocketbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\atlas\ping\abrams_ping_pocket_check_items.mp3.json","atlas/ping/abrams_ping_pocket_check_items.mp3","1","Check out what Pocketbot.","Check out what Pocket bought.","bot_suffix_or_compound","Pocketbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\atlas\ping\abrams_ping_seven_check_items_1.mp3.json","atlas/ping/abrams_ping_seven_check_items_1.mp3","2","Check out what Sevenbot.","Check out what Seven bought.","bot_suffix_or_compound","Sevenbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\atlas\ping\abrams_ping_seven_check_items.mp3.json","atlas/ping/abrams_ping_seven_check_items.mp3","2","Check out what Sevenbot.","Check out what Seven bought.","bot_suffix_or_compound","Sevenbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\atlas\ping\abrams_ping_synth_check_items_1.mp3.json","atlas/ping/abrams_ping_synth_check_items_1.mp3","1","Check out what Pocketbot.","Check out what Pocket bought.","bot_suffix_or_compound","Pocketbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\atlas\ping\abrams_ping_synth_check_items.mp3.json","atlas/ping/abrams_ping_synth_check_items.mp3","1","Check out what Pocketbot.","Check out what Pocket bought.","bot_suffix_or_compound","Pocketbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\atlas\ping\abrams_ping_warden_check_items_1.mp3.json","atlas/ping/abrams_ping_warden_check_items_1.mp3","1","Check out what Wardenbot.","Check out what Warden bought.","bot_suffix_or_compound","Wardenbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\atlas\ping\abrams_ping_warden_check_items_1.mp3.json","atlas/ping/abrams_ping_warden_check_items_1.mp3","2","Check out Wood Wardenbot.","Check out Wood Warden bought.","bot_suffix_or_compound","Wardenbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\atlas\ping\abrams_ping_warden_check_items.mp3.json","atlas/ping/abrams_ping_warden_check_items.mp3","1","Check out what Wardenbot.","Check out what Warden bought.","bot_suffix_or_compound","Wardenbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\atlas\ping\abrams_ping_wraith_check_items_1.mp3.json","atlas/ping/abrams_ping_wraith_check_items_1.mp3","1","Check out what Wraithbot.","Check out what Wraith bought.","bot_suffix_or_compound","Wraithbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\atlas\ping\abrams_ping_wraith_check_items.mp3.json","atlas/ping/abrams_ping_wraith_check_items.mp3","1","Check out what Wraithbot.","Check out what Wraith bought.","bot_suffix_or_compound","Wraithbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\atlas\ping\abrams_ping_wrecker_check_items_1.mp3.json","atlas/ping/abrams_ping_wrecker_check_items_1.mp3","1","Check out what Wreckerbot","Check out what Wrecker bought","bot_suffix_or_compound","Wreckerbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\atlas\ping\abrams_ping_wrecker_check_items.mp3.json","atlas/ping/abrams_ping_wrecker_check_items.mp3","1","Check out what Wreckerbot","Check out what Wrecker bought","bot_suffix_or_compound","Wreckerbot","1"
